# ID                 CLUSTER    CG_PROB
  2M00541152+8515231 "NGC 188"  1.0    
  2M00543664+8501152 "NGC 188"  1.0    
  2M00571844+8510288 "NGC 188"  1.0    
  2M00581691+8540183 "NGC 188"  1.0    
  2M06070155+2401470 "NGC 2158" 1.0    
  2M06071764+2410276 "NGC 2158" 1.0    
  2M06071913+2400148 "NGC 2158" 0.9    
  2M06072443+2400524 "NGC 2158" 1.0    
  2M06072907+2402151 "NGC 2158" 1.0    
  2M06073636+2405001 "NGC 2158" 1.0    
  2M06073917+2409098 "NGC 2158" 1.0    
  2M06073998+2403546 "NGC 2158" 1.0    
  2M06075243+2403561 "NGC 2158" 1.0    
  2M06150342-1839003 "NGC 2204" 0.8    
  2M06151360-1841498 "NGC 2204" 1.0    
  2M06152142-1835512 "NGC 2204" 1.0    
  2M06153393-1837216 "NGC 2204" 0.9    
  2M06154970-1837393 "NGC 2204" 1.0    
  2M06155099-1834182 "NGC 2204" 1.0    
  2M06160212-1838467 "NGC 2204" 1.0    
  2M06161325-1844156 "NGC 2204" 1.0    
  2M06290477-3121263 "NGC 2243" 1.0    
  2M06292300-3117299 "NGC 2243" 1.0    
  2M06292939-3115459 "NGC 2243" 1.0    
  2M06293565-3117110 "NGC 2243" 1.0    
  2M06294583-3115382 "NGC 2243" 1.0    
  2M07380545+2136507 "NGC 2420" 0.9    
  2M07382114+2131418 "NGC 2420" 1.0    
  2M07382148+2135050 "NGC 2420" 1.0    
  2M07382696+2138244 "NGC 2420" 1.0    
  2M07383760+2134119 "NGC 2420" 1.0    
  2M08511269+1152423 "NGC 2682" 1.0    
  2M08512280+1148016 "NGC 2682" 0.7    
  2M08512618+1153520 "NGC 2682" 0.9    
  2M08512898+1150330 "NGC 2682" 1.0    
  2M08515952+1155049 "NGC 2682" 0.9    
  2M19202480+3756370 "NGC 6791" 1.0    
  2M19204557+3739509 "NGC 6791" 1.0    
  2M19204570+3754354 "NGC 6791" 1.0    
  2M19205287+3745331 "NGC 6791" 1.0    
  2M19205368+3750236 "NGC 6791" 1.0    
  2M19205874+3743130 "NGC 6791" 1.0    
  2M19210086+3746396 "NGC 6791" 1.0    
  2M19211725+3743187 "NGC 6791" 1.0    
  2M19213635+3739445 "NGC 6791" 1.0    
  2M19213694+3753445 "NGC 6791" 1.0    
  2M19373462+4624098 "NGC 6811" 1.0    
  2M19405797+4008174 "NGC 6819" 1.0    
  2M19410524+4014042 "NGC 6819" 1.0    
  2M19410858+4013299 "NGC 6819" 1.0    
  2M19410926+4014436 "NGC 6819" 1.0    
  2M19410991+4015495 "NGC 6819" 1.0    
  2M19411115+4011422 "NGC 6819" 1.0    
  2M19412222+4016442 "NGC 6819" 1.0    
  2M19412386+4021444 "NGC 6819" 1.0    
  2M19412707+4012283 "NGC 6819" 1.0    
  2M19412915+4013040 "NGC 6819" 1.0    
  2M19413027+4015218 "NGC 6819" 1.0    
  2M19414427+4005527 "NGC 6819" 1.0    
  2M19415064+4016010 "NGC 6819" 1.0    
  2M23562953+5648399 "NGC 7789" 1.0    
  2M23563930+5645242 "NGC 7789" 1.0    
  2M23564304+5650477 "NGC 7789" 1.0    
  2M23565053+5649208 "NGC 7789" 1.0    
  2M23570895+5648504 "NGC 7789" 1.0    
  2M23571728+5645333 "NGC 7789" 1.0    
  2M23571847+5650271 "NGC 7789" 1.0    
  2M23573563+5640000 "NGC 7789" 1.0    
  2M06353172+0924287 "Trumpler 5" 1.0    
  2M06364193+0928117 "Trumpler 5" 1.0    
  2M06372817+0943118 "Trumpler 5" 1.0    
  2M06374091+0934530 "Trumpler 5" 1.0    
